date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:40	150055/150055	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-24a27%22	https://nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-3.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-3.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:41	99198/99198	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-1837e%22	https://nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-4.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-4.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:42	196395/196395	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-2ff2b%22	https://nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-5.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/main-blog/m-blog-5.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:43	34879/34879	---M--	200	added ('OK')	image/png	etag:%225f328367-883f%22	https://nowrintnxt.github.io/edustage/img/blog/author.png	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/author.png	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:43	9579/9579	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-256b%22	https://nowrintnxt.github.io/edustage/img/blog/popular-post/post1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/popular-post/post1.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:44	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://nowrintnxt.github.io/edustage/blog-details.html	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/blog-details.html	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:45	7672/7672	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-1df8%22	https://nowrintnxt.github.io/edustage/img/blog/popular-post/post2.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/popular-post/post2.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:46	7999/7999	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-1f3f%22	https://nowrintnxt.github.io/edustage/img/blog/popular-post/post3.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/popular-post/post3.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:47	9583/9583	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-256f%22	https://nowrintnxt.github.io/edustage/img/blog/popular-post/post4.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/popular-post/post4.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
11:27:48	9093/9093	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-2385%22	https://nowrintnxt.github.io/edustage/img/blog/add.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/add.jpg	(from https://nowrintnxt.github.io/edustage/blog.html)
